Date,Silver_Predicted,Silver_Actual
2022-05-10,22.3109,21.39
2022-05-11,22.4835,21.55
2022-05-12,21.7204,20.757
2022-05-13,21.9285,20.984
2022-05-16,21.7804,21.535
2022-05-17,21.7669,21.737
2022-05-18,21.5559,21.533
2022-05-19,22.1231,21.898
2022-05-20,22.2657,21.669
2022-05-23,22.196,21.723
2022-05-24,22.2046,22.063
2022-05-25,21.9286,21.86
2022-05-26,21.854,21.941
2022-05-27,22.1382,22.06
2022-05-31,22.4167,21.651
2022-06-01,22.3314,21.884
2022-06-02,23.2043,22.254
2022-06-03,22.9389,21.89
2022-06-06,22.3656,22.074
2022-06-07,22.4293,22.159
2022-06-08,22.75,22.074
2022-06-09,22.4244,21.797
2022-06-10,22.3052,21.913
2022-06-13,21.9365,21.236
2022-06-14,22.253,20.936
2022-06-15,22.2265,21.402
2022-06-16,22.0906,21.867
2022-06-17,21.8982,21.573
2022-06-21,22.0623,21.754
2022-06-22,21.6877,21.407
2022-06-23,20.9917,21.032
2022-06-24,20.9775,21.116
2022-06-27,21.0031,21.159
2022-06-28,20.9746,20.797
2022-06-29,21.0489,20.668
2022-06-30,21.2813,20.282
2022-07-01,20.8707,19.597
2022-07-05,20.1856,19.052
2022-07-06,20.068,19.085
2022-07-07,20.254,19.122
2022-07-08,19.9641,19.167
2022-07-11,19.653,19.067
2022-07-12,19.4841,18.899
2022-07-13,19.3781,19.138
2022-07-14,19.0054,18.169
2022-07-15,19.225,18.548
2022-07-18,19.345,18.791
2022-07-19,19.2931,18.67
2022-07-20,19.0905,18.639
2022-07-21,19.1616,18.687
2022-07-22,19.3656,18.585
2022-07-25,19.0968,18.294
2022-07-26,19.0379,18.487
2022-07-27,19.3465,18.553
2022-07-28,19.725,19.827
2022-07-29,20.2737,20.156
2022-08-01,20.1002,20.322
2022-08-02,20.3183,20.105
2022-08-03,19.8976,19.865
2022-08-04,20.0602,20.099
2022-08-05,20.246,19.819
2022-08-08,20.5776,20.592
2022-08-09,20.6265,20.458
2022-08-10,20.6407,20.718
2022-08-11,20.6029,20.326
2022-08-12,20.3277,20.677
2022-08-15,20.0071,20.251
2022-08-16,19.9304,20.065
2022-08-17,19.7956,19.711
2022-08-18,20.0488,19.448
2022-08-19,20.0617,19.058
2022-08-22,19.8082,18.873
2022-08-23,20.0112,19.012
2022-08-24,19.7386,18.895
2022-08-25,20.0333,19.111
2022-08-26,20.086,18.74
2022-08-29,19.5186,18.555
2022-08-30,19.3547,18.159
2022-08-31,19.1999,17.762
2022-09-01,18.8071,17.551
2022-09-02,19.0287,17.776
2022-09-06,19.3628,17.795
2022-09-07,19.242,18.137
2022-09-08,19.6798,18.33
2022-09-09,19.7167,18.658
2022-09-12,19.7689,19.755
2022-09-13,19.5467,19.39
2022-09-14,19.0432,19.471
2022-09-15,19.3706,19.175
2022-09-16,19.7617,19.296
2022-09-19,19.7804,19.273
2022-09-20,19.5858,19.102
2022-09-21,19.4324,19.411
2022-09-22,19.6388,19.548
2022-09-23,19.3397,18.841
2022-09-26,19.1398,18.406
2022-09-27,19.2426,18.257
2022-09-28,19.3572,18.796
2022-09-29,19.6501,18.611
2022-09-30,19.649,18.96
2022-10-03,19.8921,20.519
2022-10-04,20.0219,21.037
2022-10-05,20.0579,20.479
2022-10-06,19.8565,20.595
2022-10-07,19.6476,20.192
2022-10-10,19.7932,19.556
2022-10-11,19.9023,19.427
2022-10-12,19.8267,18.878
2022-10-13,19.7782,18.858
2022-10-14,19.8902,18.015
2022-10-17,20.0875,18.674
2022-10-18,19.9979,18.571
2022-10-19,19.8867,18.336
2022-10-20,20.2492,18.666
2022-10-21,20.62,19.043
2022-10-24,20.4403,19.174
2022-10-25,20.2186,19.339
2022-10-26,20.9139,19.48
2022-10-27,20.9791,19.478
2022-10-28,20.2777,19.147
2022-10-31,19.6665,19.125
2022-11-01,20.2068,19.673
2022-11-02,20.2043,19.6
2022-11-03,20.1146,19.436
2022-11-04,21.0424,20.79
2022-11-07,20.5347,20.898
2022-11-08,21.2356,21.477
2022-11-09,21.5099,21.298
2022-11-10,21.6936,21.677
2022-11-11,22.2885,21.646
2022-11-14,22.0292,22.092
2022-11-15,21.9121,21.499
2022-11-16,21.7143,21.504
2022-11-17,21.2521,20.955
2022-11-18,21.0182,20.976
2022-11-21,20.6062,20.849
2022-11-22,20.8317,21.034
2022-11-23,20.605,21.357
2022-11-25,20.8452,21.425
2022-11-28,20.9637,20.91
2022-11-29,20.855,21.204
2022-11-30,21.2732,21.55
2022-12-01,21.9009,22.637
2022-12-02,22.1979,23.038
2022-12-05,22.1602,22.199
2022-12-06,22.2445,22.123
2022-12-07,22.3883,22.71
2022-12-08,22.4662,23.063
2022-12-09,22.5205,23.535
2022-12-12,22.0001,23.22
2022-12-13,22.1439,23.801
2022-12-14,22.467,23.946
2022-12-15,21.6899,23.128
2022-12-16,21.8786,23.151
2022-12-19,22.2071,23.029
2022-12-20,22.5097,24.094
2022-12-21,22.4866,24.035
2022-12-22,22.3063,23.476
2022-12-23,22.5003,23.764
2022-12-27,22.6501,24.04
2022-12-28,22.7749,23.663
2022-12-29,22.7622,24.078
2022-12-30,22.7295,23.862
2023-01-03,22.7642,24.059
2023-01-04,22.7502,23.792
2023-01-05,22.8195,23.258
2023-01-06,23.0105,23.822
2023-01-09,23.23,23.712
2023-01-10,22.9707,23.507
2023-01-11,23.0544,23.327
2023-01-12,23.2707,23.863
2023-01-13,23.457,24.231
2023-01-17,23.4503,23.944
2023-01-18,23.3849,23.53
2023-01-19,23.5651,23.754
2023-01-20,23.5373,23.83
2023-01-23,23.3574,23.452
2023-01-24,23.4636,23.649
2023-01-25,23.4799,23.839
2023-01-26,23.3476,23.93
2023-01-27,23.1923,23.527
2023-01-30,23.0601,23.645
2023-01-31,23.2428,23.748
2023-02-01,23.0555,23.521
2023-02-02,22.8243,23.534
2023-02-03,22.0925,22.334
2023-02-06,22.136,22.177
2023-02-07,22.2778,22.117
2023-02-08,22.3484,22.367
2023-02-09,22.2445,22.097
2023-02-10,22.3042,22.034
2023-02-13,22.3211,21.818
2023-02-14,22.3809,21.842
2023-02-15,21.9908,21.546
2023-02-16,22.1548,21.684
2023-02-17,22.0704,21.694
2023-02-21,22.1211,21.869
2023-02-22,21.9277,21.661
2023-02-23,21.7083,21.299
2023-02-24,21.4922,20.806
2023-02-27,21.7042,20.67
2023-02-28,21.9625,20.961
2023-03-01,22.0707,20.959
2023-03-02,21.9215,20.766
2023-03-03,22.0158,21.093
2023-03-06,21.7312,20.984
2023-03-07,21.5763,20.054
2023-03-08,21.48,20.005
2023-03-09,21.6575,20.025
2023-03-10,21.9102,20.375
2023-03-13,22.5639,21.793
2023-03-14,22.4369,21.929
2023-03-15,22.8046,21.774
2023-03-16,22.6359,21.588
2023-03-17,23.5389,22.351
2023-03-20,23.8283,22.533
2023-03-21,22.9079,22.324
2023-03-22,23.408,22.675
2023-03-23,24.6461,23.144
2023-03-24,24.327,23.247
2023-03-27,23.7044,23.054
2023-03-28,24.1419,23.324
2023-03-29,23.9807,23.376
2023-03-30,24.3444,23.902
2023-03-31,24.1749,24.076
2023-04-03,24.5063,23.941
2023-04-04,24.9577,25.022
2023-04-05,25.0056,24.963
2023-04-06,24.849,25.025
2023-04-10,24.6197,24.846
2023-04-11,24.8518,25.131
2023-04-12,25.0262,25.404
2023-04-13,25.4618,25.874
2023-04-14,25.0029,25.424
2023-04-17,24.8231,25.053
2023-04-18,25.058,25.248
2023-04-19,24.8685,25.366
2023-04-20,25.0016,25.368
2023-04-21,24.673,25.053
2023-04-24,24.7509,25.306
2023-04-25,24.7256,24.877
2023-04-26,24.7168,24.871
2023-04-27,24.7022,24.983
2023-04-28,24.7414,24.999
2023-05-01,24.8636,25.009
2023-05-02,25.1414,25.404
2023-05-03,25.1598,25.476
2023-05-04,25.3632,26.035
2023-05-05,24.999,25.743
2023-05-08,25.1965,25.636
2023-05-09,25.2166,25.698
2023-05-10,25.1676,25.461
2023-05-11,24.6261,24.255
2023-05-12,24.6312,23.992
2023-05-15,23.9258,24.127
2023-05-16,23.5703,23.737
2023-05-17,23.6312,23.752
2023-05-18,23.4461,23.495
2023-05-19,23.5761,23.92
2023-05-22,23.6113,23.715
2023-05-23,23.4992,23.474
2023-05-24,23.4244,23.115
2023-05-25,23.3956,22.786
2023-05-26,23.547,23.24
2023-05-30,23.6244,23.125
2023-05-31,23.6155,23.474
2023-06-01,23.8033,23.875
2023-06-02,23.7236,23.643
2023-06-05,23.7277,23.534
2023-06-06,23.8246,23.574
2023-06-07,23.6684,23.439
2023-06-08,23.8969,24.264
2023-06-09,23.8608,24.334
2023-06-12,23.7733,23.985
2023-06-13,23.7297,23.756
2023-06-14,23.8678,24.044
2023-06-15,23.8409,23.891
2023-06-16,23.6669,24.076
2023-06-20,23.1715,23.193
2023-06-21,22.964,22.774
2023-06-22,22.6906,22.436
2023-06-23,23.0038,22.328
2023-06-26,22.9523,22.805
2023-06-27,23.0494,22.939
2023-06-28,23.3609,22.868
2023-06-29,23.3315,22.591
2023-06-30,23.6222,22.81
2023-07-03,23.6988,22.896
2023-07-05,23.5962,23.197
2023-07-06,23.34,22.686
2023-07-07,23.6041,23.092
2023-07-10,23.5858,23.151
2023-07-11,23.5883,23.086
2023-07-12,23.9574,24.119
2023-07-13,24.0866,24.768
2023-07-14,23.9957,25.014
2023-07-17,23.8891,24.844
2023-07-18,23.9242,25.084
2023-07-19,23.8578,25.219
2023-07-20,23.8655,24.805
2023-07-21,23.8848,24.698
2023-07-24,23.8134,24.436
2023-07-25,23.9015,24.68
2023-07-26,24.0544,24.825
2023-07-27,23.9133,24.236
2023-07-28,24.0253,24.37
2023-07-31,24.0597,24.854
2023-08-01,23.8857,24.208
2023-08-02,23.7339,23.754
2023-08-03,23.7885,23.586
2023-08-04,23.7904,23.617
2023-08-07,23.6193,23.142
2023-08-08,23.4696,22.717
2023-08-09,23.4988,22.65
2023-08-10,23.4361,22.746
2023-08-11,23.3558,22.674
2023-08-14,23.3741,22.644
2023-08-15,23.1677,22.595
2023-08-16,23.1776,22.48
2023-08-17,23.2161,22.67
2023-08-18,23.2431,22.695
2023-08-21,23.3281,23.304
2023-08-22,23.3412,23.42
2023-08-23,23.4822,24.363
2023-08-24,23.4823,24.211
2023-08-25,23.5209,24.22
2023-08-28,23.5786,24.238
2023-08-29,23.7152,24.777
2023-08-30,23.6577,24.734
2023-08-31,23.5852,24.472
2023-09-01,23.6774,24.232
2023-09-05,23.6052,23.558
2023-09-06,23.4936,23.206
2023-09-07,23.4587,22.95
2023-09-08,23.4094,22.892
2023-09-11,23.5771,23.103
2023-09-12,23.4743,23.127
2023-09-13,23.471,22.912
2023-09-14,23.5212,22.748
2023-09-15,23.4437,23.126
2023-09-18,23.4195,23.232
2023-09-19,23.4014,23.194
2023-09-20,23.5257,23.579
2023-09-21,23.319,23.444
2023-09-22,23.3324,23.596
2023-09-25,23.269,23.145
2023-09-26,23.1976,22.95
2023-09-27,23.1252,22.477
2023-09-28,23.1413,22.515
2023-09-29,23.1824,22.236
2023-10-02,22.87,21.218
2023-10-03,22.7746,21.178
2023-10-04,22.7495,20.956
2023-10-05,22.5917,20.848
2023-10-06,22.7714,21.54
2023-10-09,22.8592,21.741
2023-10-10,22.9992,21.776
2023-10-11,22.979,21.957
2023-10-12,22.9526,21.792
2023-10-13,23.0955,22.727
2023-10-16,23.1331,22.61
2023-10-17,23.1609,22.863
2023-10-18,23.3024,22.944
2023-10-19,23.4026,22.887
2023-10-20,23.3198,23.351
2023-10-23,23.2931,23.072
2023-10-24,23.3805,22.98
2023-10-25,23.3636,22.877
2023-10-26,23.2521,22.787
2023-10-27,23.4636,22.77
2023-10-30,23.4822,23.282
2023-10-31,23.4592,22.841
2023-11-01,23.4367,22.685
2023-11-02,23.5003,22.751
2023-11-03,23.5759,23.201
2023-11-06,23.6497,23.149
2023-11-07,23.572,22.508
2023-11-08,23.4091,22.647
2023-11-09,23.4366,22.831
2023-11-10,23.2821,22.215
2023-11-13,23.535,22.299
2023-11-14,23.6334,23.079
2023-11-15,23.6814,23.485
2023-11-16,23.7242,23.892
2023-11-17,23.7535,23.809
2023-11-20,23.87,23.579
2023-11-21,23.9164,23.843
2023-11-22,23.8105,23.672
2023-11-24,23.8694,24.329
2023-11-27,23.8624,24.672
2023-11-28,23.9705,24.93
2023-11-29,23.9391,25.072
2023-11-30,23.9617,25.293
2023-12-01,24.1308,25.499
2023-12-04,23.7665,24.555
2023-12-05,23.5885,24.201
2023-12-06,23.5698,23.889
2023-12-07,23.6443,23.732
2023-12-08,23.5831,22.971
2023-12-11,23.6355,22.773
2023-12-12,23.536,22.728
2023-12-13,23.5819,22.639
2023-12-14,23.8789,24.096
2023-12-15,23.6868,23.87
2023-12-18,23.7642,23.831
2023-12-19,23.7857,24.04
2023-12-20,23.8383,24.347
2023-12-21,23.8499,24.307
2023-12-22,23.9029,24.29
2023-12-26,23.8233,24.144
2023-12-27,24.141,24.375
2023-12-28,23.9787,24.134
2023-12-29,23.7846,23.853
2024-01-02,23.8618,23.733
2024-01-03,23.7108,22.946
2024-01-04,23.665,22.989
2024-01-05,23.5592,23.122
2024-01-08,23.5838,23.12
2024-01-09,23.4251,22.904
2024-01-10,23.3921,22.884
2024-01-11,23.4198,22.537
2024-01-12,23.3951,23.162
2024-01-16,23.5294,22.933
2024-01-17,23.2824,22.516
2024-01-18,23.3903,22.667
2024-01-19,23.4573,22.571
2024-01-22,23.3882,22.163
2024-01-23,23.4995,22.334
2024-01-24,23.5603,22.755
2024-01-25,23.4805,22.808
2024-01-26,23.4794,22.755
2024-01-29,23.603,23.138
2024-01-30,23.7122,23.107
2024-01-31,23.8445,23.051
2024-02-01,23.7023,23.13
2024-02-02,23.5362,22.701
2024-02-05,23.4199,22.335
2024-02-06,23.4864,22.393
2024-02-07,23.2893,22.278
2024-02-08,23.2809,22.565
2024-02-09,23.1253,22.528
2024-02-12,23.2397,22.709
2024-02-13,23.061,22.096
2024-02-14,23.0607,22.331
2024-02-15,23.4014,22.912
2024-02-16,23.6802,23.439
2024-02-20,23.6975,23.106
2024-02-21,23.6571,22.851
2024-02-22,23.664,22.765
2024-02-23,23.7364,22.969
2024-02-26,23.5752,22.517
2024-02-27,23.5675,22.523
2024-02-28,23.6183,22.41
2024-02-29,23.6504,22.666
2024-03-01,23.9152,23.15
2024-03-04,24.0196,23.779
2024-03-05,24.1154,23.763
2024-03-06,24.2546,24.272
2024-03-07,24.39,24.37
2024-03-08,24.4416,24.339
2024-03-11,24.4798,24.512
2024-03-12,24.4357,24.194
2024-03-13,24.7598,24.959
2024-03-14,24.6684,24.874
2024-03-15,24.9174,25.2
2024-03-18,24.7862,25.091
2024-03-19,24.6003,24.964
2024-03-20,24.6683,24.933
2024-03-21,24.8937,24.849
2024-03-22,24.504,24.692
2024-03-25,24.6842,24.745
2024-03-26,24.674,24.483
2024-03-27,24.6959,24.625
2024-03-28,24.9546,24.797
2024-04-01,25.2349,24.954
2024-04-02,25.5256,25.804
2024-04-03,26.2182,26.945
2024-04-04,26.3414,27.14
2024-04-05,26.6711,27.4
2024-04-08,26.8053,27.712
2024-04-09,26.9062,27.891
2024-04-10,26.764,27.961
2024-04-11,26.9064,28.176
2024-04-12,27.0759,28.255
2024-04-15,27.4243,28.651
2024-04-16,27.4987,28.318
2024-04-17,27.4787,28.346
2024-04-18,27.7518,28.329
2024-04-19,28.059,28.808
2024-04-22,27.342,27.213
2024-04-23,27.2232,27.331
2024-04-24,27.0737,27.324
2024-04-25,27.3895,27.342
2024-04-26,27.3954,27.241
2024-04-29,27.6873,27.373
2024-04-30,26.9668,26.391
2024-05-01,27.0576,26.489
2024-05-02,26.9706,26.583
2024-05-03,27.1299,26.445
2024-05-06,27.4212,27.369
2024-05-07,27.3582,27.303
2024-05-08,27.2129,27.361
2024-05-09,27.3689,28.132
2024-05-10,27.8563,28.275
2024-05-13,27.8434,28.221
2024-05-14,28.2496,28.485
2024-05-15,28.5925,29.514
2024-05-16,28.3298,29.665
2024-05-17,28.8726,31.047
2024-05-20,29.0805,32.205
2024-05-21,29.0591,31.868
2024-05-22,28.332,31.295
2024-05-23,27.9126,30.284
2024-05-24,27.8109,30.33
2024-05-28,28.151,31.971
2024-05-29,27.8939,32.203
2024-05-30,27.5763,31.388
2024-05-31,27.3028,30.297
2024-06-03,27.5745,30.641
2024-06-04,27.1812,29.488
2024-06-05,27.5254,29.948
2024-06-06,27.8504,31.247
2024-06-07,26.9405,29.335
2024-06-10,27.1942,29.769
2024-06-11,27.0486,29.133
2024-06-12,27.4821,30.176
2024-06-13,27.0432,28.99
2024-06-14,27.4,29.402
2024-06-17,27.1116,29.325
2024-06-18,27.4691,29.505
2024-06-20,27.7877,30.776
2024-06-21,27.2214,29.573
2024-06-24,27.508,29.489
2024-06-25,27.0638,28.837
2024-06-26,26.8084,28.909
2024-06-27,26.8121,28.918
2024-06-28,26.9424,29.237
2024-07-01,26.9899,29.3
2024-07-02,27.0204,29.353
2024-07-03,27.6366,30.548
2024-07-05,28.1005,31.388
2024-07-08,27.731,30.618
2024-07-09,27.686,30.772
2024-07-10,27.8781,30.727
2024-07-11,28.0226,31.394
