Date,Price,Open,High,Low
2013-09-29,21.752,21.795,22.11,20.63
2013-10-06,21.259,21.74,22.525,20.95
2013-10-13,21.913,21.39,22.2,20.495
2013-10-20,22.639,21.91,22.91,21.855
2013-10-27,21.837,22.59,23.095,21.705
2013-11-03,21.317,21.87,22.075,21.25
2013-11-10,20.727,21.425,21.45,20.41
2013-11-17,19.862,20.775,20.8,19.705
2013-11-24,20.033,19.83,20.3,19.57
2013-12-01,19.523,19.99,20.01,18.89
2013-12-08,19.604,19.555,20.48,19.28
2013-12-15,19.453,19.655,20.29,19.1
2013-12-22,20.049,19.42,20.105,19.265
2013-12-29,20.211,20.08,20.44,18.72
2014-01-05,20.223,20.135,20.355,19.31
2014-01-12,20.304,20.19,20.67,19.905
2014-01-19,19.765,20.3,20.435,19.645
2014-01-26,19.12,19.97,20.09,18.97
2014-02-02,19.936,19.095,20.335,19.06
2014-02-09,21.421,19.97,21.49,19.915
2014-02-16,21.782,21.48,21.98,21.315
2014-02-23,21.241,21.92,22.18,21.025
2014-03-02,20.928,21.325,21.74,20.755
2014-03-09,21.413,20.93,21.795,20.61
2014-03-16,20.31,21.49,21.65,20.14
2014-03-23,19.79,20.29,20.315,19.575
2014-03-30,19.946,19.855,20.23,19.635
2014-04-06,19.946,19.995,20.4,19.6
2014-04-13,19.596,20.035,20.14,19.22
2014-04-20,19.691,19.6,19.91,18.93
2014-04-27,19.546,19.73,19.755,18.685
2014-05-04,19.121,19.545,19.77,19.045
2014-05-11,19.329,19.155,20.005,19.045
2014-05-18,19.418,19.37,19.825,19.225
2014-05-25,18.682,19.44,19.5,18.615
2014-06-01,18.991,18.795,19.2,18.65
2014-06-08,19.655,19.02,19.72,18.97
2014-06-15,20.949,19.67,20.99,19.435
2014-06-22,21.134,20.865,21.25,20.705
2014-06-29,21.137,21.06,21.335,20.805
2014-07-03,21.461,21.2,21.63,20.865
2014-07-06,21.461,21.18,21.63,20.865
2014-07-13,20.886,21.485,21.53,20.63
2014-07-20,20.636,20.93,21.165,20.35
2014-07-27,20.371,20.715,20.845,20.245
2014-08-03,19.941,20.335,20.48,19.76
2014-08-10,19.525,19.92,20.155,19.505
2014-08-17,19.386,19.58,19.7,19.285
2014-08-24,19.492,19.415,19.95,19.285
2014-08-31,19.156,19.495,19.565,19.02
2014-09-07,18.606,19.19,19.345,18.455
2014-09-14,17.844,18.61,18.885,17.78
2014-09-21,17.537,17.855,17.99,17.27
2014-09-28,16.826,17.575,17.635,16.64
2014-10-05,17.303,16.805,17.72,16.66
2014-10-12,17.331,17.36,17.82,17.02
2014-10-19,17.182,17.335,17.655,17.035
2014-10-26,16.106,17.185,17.4,15.635
2014-11-02,15.714,16.11,16.22,15.04
2014-11-09,16.314,15.8,16.38,15.25
2014-11-16,16.395,16.305,16.6,15.87
2014-11-23,15.556,16.365,16.69,15.41
2014-11-30,16.258,15.39,16.81,14.155
2014-12-07,17.057,16.25,17.355,16.165
2014-12-14,16.03,17.05,17.08,15.54
2014-12-21,16.147,16.15,16.305,15.53
2014-12-28,15.768,16.08,16.48,15.51
2015-01-04,16.419,15.795,16.74,15.63
2015-01-11,17.75,16.495,17.865,16.43
2015-01-18,18.3,17.84,18.505,17.63
2015-01-25,17.208,18.3,18.49,16.74
2015-02-01,16.694,17.155,17.75,16.545
2015-02-08,17.294,16.785,17.43,16.605
2015-02-15,16.273,17.325,17.4,16.16
2015-02-22,16.558,16.255,16.905,16.04
2015-03-01,15.807,16.575,16.79,15.745
2015-03-08,15.494,15.93,15.96,15.26
2015-03-15,16.883,15.63,16.89,15.36
2015-03-22,17.069,16.755,17.405,16.61
2015-03-29,16.701,16.99,17.075,16.435
2015-04-05,16.382,16.995,17.31,16.105
2015-04-12,16.229,16.42,16.51,15.955
2015-04-19,15.636,16.275,16.34,15.55
2015-04-26,16.135,15.73,16.73,15.68
2015-05-03,16.465,16.13,16.765,16.125
2015-05-10,17.563,16.415,17.585,16.12
2015-05-17,17.051,17.535,17.775,16.87
2015-05-24,16.701,17.05,17.18,16.54
2015-05-31,15.984,16.695,17.17,15.925
2015-06-07,15.825,16.04,16.19,15.77
2015-06-14,16.109,15.9,16.43,15.81
2015-06-21,15.768,16.1,16.23,15.48
2015-06-28,15.562,15.865,16.04,15.435
2015-07-02,15.481,15.715,15.82,14.62
2015-07-05,15.481,15.63,15.82,14.62
2015-07-12,14.834,15.555,15.9,14.795
2015-07-19,14.488,14.83,14.98,14.33
2015-07-26,14.745,14.69,14.97,14.495
2015-08-02,14.821,14.75,14.99,14.345
2015-08-09,15.213,14.75,15.585,14.705
2015-08-16,15.301,15.225,15.715,14.68
2015-08-23,14.549,15.345,15.39,13.91
2015-08-30,14.549,14.58,14.95,14.39
2015-09-06,14.505,14.55,14.93,14.25
2015-09-13,15.163,14.555,15.435,14.24
2015-09-20,15.111,15.165,15.245,14.685
2015-09-27,15.263,15.07,15.3,14.36
2015-10-04,15.818,15.25,16.115,15.1
2015-10-11,16.114,15.795,16.195,15.615
2015-10-18,15.827,16.015,16.1,15.61
2015-10-25,15.567,15.845,16.37,15.475
2015-11-01,14.691,15.535,15.55,14.685
2015-11-08,14.204,14.73,14.76,14.14
2015-11-15,14.096,14.265,14.42,13.99
2015-11-22,14.048,14.135,14.375,13.855
2015-11-29,14.528,14.045,14.61,13.805
2015-12-06,13.884,14.59,14.64,13.75
2015-12-13,14.096,13.9,14.31,13.62
2015-12-20,14.379,14.11,14.4,14.045
2015-12-27,13.803,14.365,14.425,13.75
2016-01-03,13.918,13.815,14.385,13.8
2016-01-10,13.896,13.965,14.205,13.73
2016-01-17,14.057,13.92,14.36,13.84
2016-01-24,14.243,14.065,14.585,14.025
2016-01-31,14.778,14.255,15.065,14.2
2016-02-07,15.79,15.0,15.99,14.9
2016-02-14,15.373,15.705,15.74,15.155
2016-02-21,14.714,15.365,15.595,14.695
2016-02-28,15.694,14.755,15.84,14.61
2016-03-06,15.605,15.575,15.83,15.165
2016-03-13,15.811,15.52,16.17,15.2
2016-03-20,15.199,15.83,16.04,15.105
2016-03-27,15.046,15.19,15.55,14.785
2016-04-03,15.384,15.025,15.39,14.895
2016-04-10,16.313,15.38,16.395,15.37
2016-04-17,16.9,16.295,17.72,16.13
2016-04-24,17.819,16.9,18.02,16.81
2016-05-01,17.527,17.92,18.06,17.215
2016-05-08,17.132,17.46,17.62,16.85
2016-05-15,16.532,17.14,17.43,16.35
2016-05-22,16.269,16.5,16.59,16.14
2016-05-29,16.365,16.22,16.47,15.83
2016-06-05,17.33,16.415,17.38,16.245
2016-06-12,17.411,17.33,17.88,17.105
2016-06-19,17.789,17.46,18.37,17.105
2016-06-26,19.588,17.79,19.98,17.55
2016-07-03,20.099,19.84,21.225,19.28
2016-07-10,20.165,20.4,20.76,19.955
2016-07-17,19.689,20.235,20.295,19.27
2016-07-24,20.347,19.695,20.585,19.355
2016-07-31,19.817,20.41,20.835,19.715
2016-08-07,19.703,19.55,20.515,19.515
2016-08-14,19.317,19.755,20.12,19.22
2016-08-21,18.651,19.25,19.25,18.44
2016-08-28,19.366,18.61,19.535,18.37
2016-09-04,19.368,19.47,20.235,19.08
2016-09-11,18.862,19.205,19.35,18.715
2016-09-18,19.81,18.845,20.145,18.84
2016-09-25,19.214,19.79,19.825,18.975
2016-10-02,17.38,19.26,19.385,17.115
2016-10-09,17.441,17.6,17.855,17.315
2016-10-16,17.493,17.45,17.79,17.36
2016-10-23,17.796,17.52,17.935,17.465
2016-10-30,18.371,17.8,18.75,17.755
2016-11-06,17.382,18.27,19.005,17.17
2016-11-13,16.624,17.39,17.49,16.43
2016-11-20,16.47,16.6,16.885,16.15
2016-11-27,16.832,16.56,16.87,16.3
2016-12-04,16.967,16.94,17.3,16.545
2016-12-11,16.215,16.915,17.29,15.925
2016-12-18,15.759,16.12,16.265,15.675
2016-12-25,15.989,15.79,16.345,15.76
2016-12-26,15.989,15.805,16.345,15.755
2017-01-01,16.519,15.97,16.76,15.935
2017-01-02,16.519,15.97,16.76,15.935
2017-01-08,16.765,16.52,17.02,16.455
2017-01-15,17.032,16.845,17.36,16.745
2017-01-22,17.136,17.12,17.31,16.635
2017-01-29,17.479,17.17,17.745,17.08
2017-02-05,17.933,17.52,18.02,17.46
2017-02-12,18.03,17.94,18.14,17.73
2017-02-19,18.406,17.995,18.46,17.815
2017-02-26,17.74,18.42,18.54,17.66
2017-03-05,16.923,17.99,17.995,16.855
2017-03-12,17.413,17.05,17.585,16.825
2017-03-19,17.748,17.425,17.8,17.34
2017-03-26,18.256,17.805,18.315,17.78
2017-04-02,18.151,18.265,18.49,17.865
2017-04-09,18.51,17.93,18.605,17.735
2017-04-16,17.856,18.585,18.655,17.785
2017-04-23,17.262,17.82,17.975,17.185
2017-04-30,16.274,17.24,17.29,16.215
2017-05-07,16.402,16.31,16.475,16.06
2017-05-14,16.796,16.46,17.035,16.41
2017-05-21,17.323,16.87,17.38,16.84
2017-05-28,17.525,17.34,17.58,16.985
2017-06-04,17.223,17.55,17.745,17.155
2017-06-11,16.661,17.17,17.365,16.62
2017-06-18,16.647,16.67,16.76,16.315
2017-06-25,16.627,16.695,16.915,16.225
2017-07-02,15.425,16.635,16.645,15.32
2017-07-09,15.933,15.58,16.07,15.145
2017-07-16,16.457,15.99,16.51,15.935
2017-07-23,16.695,16.5,16.81,16.225
2017-07-30,16.252,16.745,16.96,16.17
2017-08-06,17.07,16.27,17.24,16.095
2017-08-13,17.0,17.13,17.32,16.56
2017-08-20,17.049,16.935,17.18,16.715
2017-08-27,17.816,17.055,17.825,17.02
2017-09-03,18.123,17.88,18.29,17.835
2017-09-10,17.701,17.92,18.125,17.63
2017-09-17,16.984,17.655,17.675,16.865
2017-09-24,16.676,17.03,17.295,16.64
2017-10-01,16.79,16.67,16.92,16.345
2017-10-08,17.411,16.85,17.45,16.765
2017-10-15,17.078,17.425,17.495,16.92
2017-10-22,16.752,17.035,17.17,16.6
2017-10-29,16.834,16.85,17.255,16.645
2017-11-05,16.871,16.835,17.27,16.785
2017-11-12,17.373,16.86,17.385,16.82
2017-11-19,16.992,17.335,17.335,16.82
2017-11-26,16.388,17.02,17.17,16.265
2017-12-03,15.823,16.37,16.455,15.66
2017-12-10,16.063,15.845,16.18,15.635
2017-12-17,16.444,16.085,16.485,16.05
2017-12-24,17.145,16.36,17.175,16.36
2017-12-25,17.145,16.445,17.175,16.365
2017-12-31,17.285,17.035,17.325,16.985
2018-01-01,17.285,17.035,17.325,16.985
2018-01-07,17.141,17.27,17.3,16.88
2018-01-14,17.036,17.235,17.45,16.8
2018-01-21,17.441,17.045,17.705,16.735
2018-01-28,16.709,17.42,17.47,16.52
2018-02-04,16.139,16.61,16.955,16.13
2018-02-11,16.712,16.295,16.95,16.28
2018-02-18,16.484,16.6,16.745,16.34
2018-02-25,16.466,16.47,16.72,16.16
2018-03-04,16.608,16.53,16.895,16.33
2018-03-11,16.272,16.605,16.69,16.205
2018-03-18,16.582,16.305,16.675,16.1
2018-03-25,16.268,16.56,16.81,16.195
2018-04-01,16.362,16.3,16.68,16.15
2018-04-08,16.658,16.42,16.89,16.295
2018-04-15,17.163,16.655,17.36,16.545
2018-04-22,16.497,17.135,17.135,16.385
2018-04-29,16.519,16.555,16.62,16.07
2018-05-06,16.752,16.55,16.865,16.335
2018-05-13,16.455,16.7,16.76,16.19
2018-05-20,16.546,16.43,16.74,16.28
2018-05-27,16.441,16.48,16.615,16.31
2018-06-03,16.741,16.42,16.935,16.37
2018-06-10,16.48,16.805,17.35,16.46
2018-06-17,16.459,16.55,16.635,16.19
2018-06-24,16.198,16.445,16.485,15.945
2018-07-01,16.069,16.145,16.19,15.8
2018-07-08,15.815,16.065,16.26,15.7
2018-07-15,15.549,15.805,15.9,15.185
2018-07-22,15.493,15.54,15.7,15.34
2018-07-29,15.462,15.46,15.635,15.25
2018-08-05,15.295,15.445,15.525,15.29
2018-08-12,14.631,15.3,15.345,14.315
2018-08-19,14.794,14.725,14.875,14.45
2018-08-26,14.557,14.82,14.95,14.525
2018-09-02,14.17,14.54,14.55,14.035
2018-09-09,14.142,14.16,14.39,13.965
2018-09-16,14.359,14.095,14.465,14.065
2018-09-23,14.712,14.325,14.755,14.195
2018-09-30,14.649,14.725,14.95,14.395
2018-10-07,14.635,14.665,14.735,14.255
2018-10-14,14.65,14.625,14.88,14.47
2018-10-21,14.7,14.65,14.84,14.54
2018-10-28,14.756,14.72,14.92,14.24
2018-11-04,14.14,14.74,14.775,14.08
2018-11-11,14.382,14.15,14.4,13.86
2018-11-18,14.243,14.4,14.54,14.165
2018-11-25,14.217,14.29,14.47,14.05
2018-12-02,14.696,14.345,14.745,14.345
2018-12-09,14.637,14.7,14.9,14.56
2018-12-16,14.702,14.635,14.915,14.615
2018-12-23,15.436,14.74,15.46,14.725
2018-12-30,15.786,15.43,15.91,15.385
2019-01-06,15.656,15.825,15.88,15.56
2019-01-13,15.399,15.68,15.735,15.35
2019-01-20,15.699,15.365,15.765,15.195
2019-01-27,15.931,15.785,16.2,15.61
2019-02-03,15.809,15.865,15.93,15.635
2019-02-10,15.743,15.69,15.82,15.445
2019-02-17,15.914,15.785,16.195,15.715
2019-02-24,15.256,15.92,16.01,15.165
2019-03-03,15.349,15.27,15.385,14.985
2019-03-10,15.324,15.35,15.55,15.135
2019-03-17,15.407,15.245,15.65,15.22
2019-03-24,15.11,15.41,15.59,14.95
2019-03-31,15.086,15.09,15.19,14.86
2019-04-07,14.963,15.11,15.31,14.845
2019-04-14,14.955,14.925,15.055,14.795
2019-04-21,15.088,14.985,15.12,14.7
2019-04-28,14.978,15.075,15.1,14.57
2019-05-05,14.79,14.93,14.99,14.705
2019-05-12,14.388,14.76,14.865,14.38
2019-05-19,14.555,14.415,14.635,14.35
2019-05-26,14.567,14.545,14.67,14.265
2019-06-02,15.031,14.575,15.15,14.565
2019-06-09,14.803,15.005,15.12,14.625
2019-06-16,15.29,14.84,15.555,14.755
2019-06-23,15.341,15.355,15.505,15.16
2019-06-30,15.001,15.315,15.51,14.915
2019-07-07,15.236,15.05,15.345,14.965
2019-07-14,16.195,15.24,16.625,15.185
2019-07-21,16.397,16.255,16.685,16.195
2019-07-28,16.27,16.42,16.64,15.935
2019-08-04,16.931,16.26,17.26,16.135
2019-08-11,17.122,16.965,17.49,16.51
2019-08-18,17.413,17.125,17.465,16.82
2019-08-25,18.342,17.5,18.76,17.495
2019-09-01,18.119,18.52,19.75,18.045
2019-09-08,17.569,18.215,18.555,17.47
2019-09-15,17.849,17.755,18.17,17.58
2019-09-22,17.652,18.03,18.81,17.345
2019-09-29,17.625,17.59,17.845,16.94
2019-10-06,17.544,17.665,18.0,17.305
2019-10-13,17.578,17.59,17.765,17.18
2019-10-20,17.926,17.615,18.35,17.44
2019-10-27,18.052,18.065,18.185,17.59
2019-11-03,16.823,18.125,18.23,16.66
2019-11-10,16.948,16.755,17.08,16.615
2019-11-17,17.0,16.95,17.21,16.705
2019-11-24,17.106,16.96,17.125,16.78
2019-12-01,16.596,17.07,17.415,16.575
2019-12-08,17.012,16.6,17.185,16.565
2019-12-15,17.224,17.005,17.315,16.935
2019-12-22,17.943,17.23,18.135,17.23
2019-12-29,18.151,17.86,18.325,17.83
2020-01-05,18.105,18.17,18.895,17.815
2020-01-12,18.073,18.13,18.185,17.69
2020-01-19,18.113,18.04,18.155,17.59
2020-01-26,18.012,18.26,18.375,17.28
2020-02-02,17.692,18.1,18.125,17.465
2020-02-09,17.734,17.705,17.825,17.435
2020-02-16,18.53,17.725,18.625,17.67
2020-02-23,16.457,18.65,18.92,16.4
2020-03-01,17.263,16.5,17.575,16.445
2020-03-08,14.5,17.49,17.615,14.425
2020-03-15,12.385,15.1,15.245,11.64
2020-03-22,14.534,12.615,14.98,12.29
2020-03-29,14.494,14.7,14.75,13.895
2020-04-05,16.053,14.54,16.09,14.355
2020-04-12,15.295,15.875,16.3,15.195
2020-04-19,15.263,15.285,15.72,14.56
2020-04-26,14.938,15.32,15.94,14.82
2020-05-03,15.778,15.075,15.98,14.76
2020-05-10,17.07,15.755,17.15,15.51
2020-05-17,17.693,17.225,18.165,17.125
2020-05-24,18.499,17.69,18.55,17.225
2020-05-31,17.479,18.635,18.95,17.375
2020-06-07,17.482,17.545,18.405,17.47
2020-06-14,17.847,17.56,18.03,17.015
2020-06-21,18.168,17.92,18.255,17.425
2020-06-28,18.322,18.11,18.85,17.935
2020-07-02,19.053,18.27,19.445,18.23
2020-07-05,19.053,18.27,19.445,18.235
2020-07-12,19.764,19.08,19.87,19.08
2020-07-19,22.85,19.765,23.67,19.655
2020-07-26,24.216,22.97,26.275,22.46
2020-08-02,27.54,24.68,29.915,24.16
2020-08-09,26.089,28.525,29.53,23.58
2020-08-16,26.732,26.67,28.605,25.915
2020-08-23,27.79,26.89,28.035,26.13
2020-08-30,26.712,27.83,29.235,26.455
2020-09-06,26.857,27.04,27.755,25.985
2020-09-13,27.129,26.91,27.865,26.405
2020-09-20,23.093,27.005,27.13,21.81
2020-09-27,24.029,22.995,24.545,22.61
2020-10-04,25.108,24.075,25.33,22.965
2020-10-11,24.405,25.28,25.71,23.65
2020-10-18,24.675,24.29,25.425,24.215
2020-10-25,23.646,24.75,24.765,22.625
2020-11-01,25.662,23.635,25.975,23.26
2020-11-08,24.775,25.86,26.135,23.6
2020-11-15,24.363,24.8,25.155,23.67
2020-11-22,22.639,24.225,24.455,22.4
2020-11-29,24.253,22.78,24.585,21.96
2020-12-06,24.092,24.31,25.015,23.63
2020-12-13,26.033,24.14,26.35,23.755
2020-12-20,25.908,26.11,27.635,25.12
2020-12-27,26.412,26.13,26.98,26.0
2021-01-03,24.637,26.77,28.105,24.53
2021-01-10,24.866,25.47,25.99,24.365
2021-01-17,25.556,24.835,26.13,24.04
2021-01-24,26.914,25.535,27.77,24.715
2021-01-31,27.019,28.425,30.35,25.935
2021-02-07,27.328,27.2,27.875,26.75
2021-02-14,27.254,27.49,28.075,26.105
2021-02-21,26.44,27.555,28.425,26.16
2021-02-28,25.287,26.7,27.175,24.845
2021-03-07,25.911,25.4,26.545,24.97
2021-03-14,26.321,26.07,26.74,25.805
2021-03-21,25.114,26.34,26.35,24.435
2021-03-28,24.948,25.105,25.15,23.74
2021-04-04,25.325,25.05,25.675,24.66
2021-04-11,26.105,25.3,26.38,24.68
2021-04-18,26.075,26.055,26.73,25.67
2021-04-25,25.873,26.045,26.58,25.745
2021-05-02,27.477,25.99,27.8,25.85
2021-05-09,27.365,27.68,28.005,26.78
2021-05-16,27.486,27.515,28.9,27.265
2021-05-23,28.014,27.69,28.34,27.48
2021-05-30,27.896,28.06,28.71,27.09
2021-06-06,28.146,27.91,28.445,27.475
2021-06-13,25.969,28.095,28.16,25.77
2021-06-20,26.087,25.865,26.38,25.58
2021-06-27,26.501,26.19,26.7,25.58
2021-07-04,26.234,26.64,26.91,25.82
2021-07-11,25.795,26.185,26.575,25.64
2021-07-18,25.233,25.7,25.805,24.79
2021-07-25,25.547,25.27,25.875,24.515
2021-08-01,24.326,25.625,26.09,24.205
2021-08-08,23.779,24.34,24.38,22.295
2021-08-15,23.112,23.675,23.955,22.835
2021-08-22,24.11,22.985,24.18,22.925
2021-08-29,24.802,24.13,24.945,23.775
2021-09-05,23.9,24.865,24.895,23.76
2021-09-12,22.337,23.79,24.0,22.305
2021-09-19,22.425,22.33,23.15,22.025
2021-09-26,22.536,22.395,22.865,21.41
2021-10-03,22.705,22.6,23.22,22.185
2021-10-10,23.349,22.685,23.645,22.325
2021-10-17,24.449,23.38,24.92,23.035
2021-10-24,23.949,24.395,24.695,23.705
2021-10-31,24.157,23.985,24.255,23.045
2021-11-07,25.346,24.285,25.47,24.04
2021-11-14,24.781,25.425,25.49,24.61
2021-11-21,23.135,24.67,24.955,22.935
2021-11-28,22.481,23.16,23.46,22.035
2021-12-05,22.195,22.61,22.635,21.815
2021-12-12,22.533,22.195,22.69,21.41
2021-12-19,22.94,22.39,22.965,22.185
2021-12-26,23.352,22.9,23.48,22.6
2022-01-02,22.409,23.385,23.44,21.945
2022-01-09,22.918,22.385,23.345,22.205
2022-01-16,24.32,22.995,24.755,22.82
2022-01-23,22.301,24.305,24.36,22.15
2022-01-30,22.475,22.475,23.06,21.985
2022-02-06,23.369,22.535,23.735,22.5
2022-02-13,23.992,23.6,24.115,23.07
2022-02-20,24.017,24.06,25.67,23.71
2022-02-27,25.789,24.62,25.92,24.155
2022-03-06,26.16,26.025,27.495,25.465
2022-03-13,25.087,26.28,26.29,24.55
2022-03-20,25.615,25.15,26.16,24.695
2022-03-27,24.654,25.725,25.795,24.045
2022-04-03,24.823,24.735,25.11,24.2
2022-04-10,25.7,24.925,26.115,24.795
2022-04-17,24.259,25.875,26.495,24.08
2022-04-24,23.085,24.215,24.24,22.71
2022-05-01,22.367,22.785,23.345,22.11
2022-05-08,21.001,22.395,22.395,20.42
2022-05-15,21.674,21.105,22.08,20.835
2022-05-22,22.096,21.78,22.475,21.645
2022-05-29,21.908,22.15,22.525,21.41
2022-06-05,21.931,21.945,22.565,21.235
2022-06-12,21.587,22.01,22.04,20.845
2022-06-19,21.125,21.52,21.95,20.545
2022-06-26,19.667,21.2,21.535,19.295
2022-07-03,19.236,19.88,20.1,18.705
2022-07-10,18.594,19.265,19.36,18.01
2022-07-17,18.617,18.675,19.03,18.12
2022-07-31,19.892,19.92,20.15,19.66
2022-08-07,20.743,19.825,20.8,19.825
2022-08-14,19.114,20.81,20.81,19.005
2022-08-21,18.792,19.05,19.36,18.66
2022-08-28,17.852,18.75,18.75,17.645
2022-09-04,18.725,17.845,18.73,17.82
2022-09-11,19.341,18.81,19.85,18.81
2022-09-18,18.881,19.555,19.855,18.77
2022-09-25,19.039,18.525,19.3,17.885
2022-10-02,20.255,18.995,21.31,18.98
2022-10-09,18.071,20.185,20.21,18.01
2022-10-16,19.066,18.16,19.405,18.15
2022-10-23,19.147,19.395,19.765,18.74
2022-10-30,20.784,19.2,20.965,18.805
2022-11-06,21.667,20.57,22.16,20.435
2022-11-13,20.997,21.77,22.38,20.785
2022-11-20,21.609,21.175,21.88,20.79
2022-11-27,23.25,21.64,23.475,21.045
2022-12-04,23.717,23.29,23.9,22.19
2022-12-11,23.328,23.65,24.39,22.735
2022-12-18,23.92,23.415,24.525,23.03
2022-12-25,24.04,24.05,24.495,23.645
2023-01-01,23.982,24.305,24.775,23.26
2023-01-08,24.372,24.025,24.445,23.34
2023-01-15,23.935,24.45,24.67,23.27
2023-01-22,23.622,24.055,24.415,22.845
2023-01-29,22.405,23.675,24.75,22.325
2023-02-05,22.075,22.385,22.635,21.83
2023-02-12,21.715,22.03,22.085,21.155
2023-02-19,20.81,21.7,22.0,20.725
2023-02-26,21.093,20.75,21.22,20.475
2023-03-05,20.375,21.175,21.22,19.83
2023-04-02,25.093,24.285,25.295,23.725
2023-04-09,25.46,25.073,26.235,24.79
2023-04-16,25.058,25.44,25.71,24.715
2023-04-23,25.226,25.28,25.5,24.65
2023-04-30,25.93,25.46,26.435,24.82
2023-05-07,24.154,25.945,26.2,23.91
2023-05-14,24.06,24.1,24.395,23.485
2023-05-21,23.248,23.995,24.08,22.705
2023-05-28,23.747,23.425,24.12,23.03
2023-06-04,24.41,23.68,24.62,23.323
2023-06-11,24.126,24.375,24.52,23.27
2023-06-18,22.354,24.245,24.26,22.14
2023-06-25,22.81,22.845,22.905,22.3
2023-07-02,23.289,23.003,23.527,22.727
2023-07-09,25.194,23.34,25.255,22.94
2023-07-16,24.855,25.155,25.475,24.765
2023-07-23,24.495,24.675,25.16,24.15
